,SUBBASIN,Forest/Trees,Pasture,Grass,Water,Impervious-roof,Impervious-nonRoof
0,WS_03,0.14600759321702222,0.19979044498275397,0.18709027848001958,0.016137863376924595,0.1637317105910781,0.28724210935220157
1,WS_01,0.5832152943944848,0.10809174062064672,0.09467427760561024,0.014168794483683033,0.07494384122129966,0.1249060516742755
2,FL_03,0.1092685907449015,0.1838468162311203,0.2085480070376755,0.0011936675282476152,0.15490130079052897,0.342241617667526
3,TF_01,0.004896337907693602,0.25197946066834925,0.04982413902238743,0.08723009023975158,0.18800179980029244,0.41806817236152566
4,NE_03,0.2926295268244536,0.14288755348504603,0.25294577459355155,0.015357758644492894,0.14369320191061297,0.1524861845418429
5,TF_02,0.016507927112636645,0.04637639788739589,0.009194560387295426,0.012575526032944892,0.07885338027895887,0.8364922083007682
6,NE_02,0.46629581595772585,0.077480793195869,0.20911271786968647,0.016856295620210283,0.10881396165625311,0.12144041570025513
7,NT_03,0.12266996911210483,0.21915487304791406,0.15366273785916304,0.018694438641364892,0.16141277371824359,0.32440520762120967
8,LP_02,0.14520982829461396,0.20183876012832944,0.2395944691600988,0.00014274584317044522,0.1313371404997579,0.28187705607402963
9,WS_02,0.2863458559088901,0.20426662301860227,0.13447163732352255,0.014229092235751568,0.16558235385706702,0.1951044376561665
10,NT_08,0.08605843973140474,0.24881607045216336,0.16516666686431775,0.03248930129486095,0.2034687293672123,0.2640007922900409
11,FS_01,0.08602706859524618,0.2261329646162775,0.13651914910539886,,0.17236656843278245,0.378954249250295
12,JC_03,0.0873219243772437,0.23607824718047463,0.14805693700279068,,0.25474496547633196,0.2737979259631589
13,FL_06,0.06989029344422588,0.2725113820251759,0.18309053279438575,,0.20036380194242853,0.274143989793784
14,WS_04,0.126623060288243,0.1535763151290101,0.292260476068364,0.018059998731082133,0.17327610866475585,0.23620404111854498
15,NT_10,0.15031888293627024,0.1941942688417365,0.06565799904406135,0.007794774270029364,0.22644664562091565,0.3555874292869869
16,NE_04,0.3883329785847746,0.16529948849910853,0.15450656091111264,0.005409317538910384,0.103367796001272,0.18308385846482172
17,LC_01,0.11228242660010253,0.1509820256433212,0.2294141964894516,0.002725891936450753,0.15301353404300208,0.3515819252876719
18,NE_01,0.22103915766668672,0.1681394984402984,0.23629470035935907,0.0010556435544681177,0.17249509253809847,0.20097590744108915
19,NT_04,0.5280597023063662,0.10021232090918501,0.11262496416777716,0.046592966668008065,0.06873155007442895,0.14377849587423455
20,FS_03,0.07698655159842932,0.2200274250299071,0.23613160768153674,0.0007372953770173708,0.12332032948961573,0.34279679082349385
21,LP_03,0.07420575587020747,0.23837769696924097,0.25899617563860866,,0.15078271204340815,0.2776376594785348
22,FS_05,0.025628452765650428,0.19393786888031225,0.038667909741387535,0.0013993874870849362,0.2530509474087246,0.4873154337168402
23,NT_02,0.08470948600217831,0.22456412661893574,0.1699708830026771,0.008060323611066258,0.18195765332957226,0.3307375274355703
24,LP_01,0.06521186533031532,0.15737661506911177,0.05362527813585603,0.0033734347516481923,0.09709300871932511,0.6233197979937436
25,NT_07,0.13803204075995873,0.2235690439723046,0.14316293004579328,0.000655028477790419,0.23100690197930104,0.2635740547648518
26,TF_05,0.016665660497796133,0.16460984759370595,0.1992326242488936,0.01370905086037464,0.006987338400766421,0.5987954783984633
27,LC_04,0.17543495788800167,0.15009098740738147,0.17105282262418134,0.008776636413597855,0.11309666353690354,0.38154793212993404
28,FS_15,,0.03364139661094822,0.0032319840668390003,0.03896149780505419,0.22039861028251284,0.7037665112346458
29,FS_04,0.08676805155864253,0.20010163981777773,0.2038597015417338,,0.19656673010193712,0.3127038769799089
30,NT_09,0.24113475583989924,0.13535678896764503,0.1810082586564384,0.02372071107410474,0.17275285527151807,0.2460266301903945
31,FL_07,0.15146320134953706,0.21226206977794573,0.18004038236105305,0.03234098442779385,0.14508975408605293,0.27880360799761733
32,NE_05,0.16091020566643974,0.20143044843454858,0.36884217517973233,0.012879923033081393,0.023257735034982612,0.23267951265121534
33,FS_13,0.0005804976783934143,0.08089645752857542,,0.003723535234120215,0.17809987990833703,0.736699629650574
34,LC_06,0.47729772625603184,0.11291066369576447,0.17608476995308678,,0.09589146624177465,0.1378153738533423
35,LC_02,0.10288308507589328,0.21928791081501406,0.12985012343234248,,0.1979243295729106,0.3500545511038395
36,FS_14,0.005231754674017321,0.18620604642255895,0.00014057595879405957,0.02632117744480121,0.22327268853821705,0.5588277569616115
37,FL_04,0.14348728837467564,0.21080812703897697,0.13565250510800006,,0.177895017476261,0.33215706200208633
38,FS_11,0.13829152275414275,0.18659301984391297,0.2968786928114728,,0.15039191328965132,0.22784485130082024
39,NT_06,0.22270650927477972,0.1601378169955114,0.17418796727120453,0.03819127194609806,0.14302722411462385,0.26174921039778243
40,FL_05,0.05784880355045437,0.20535923401817885,0.15385700881912523,,0.1740569491915636,0.40887800442067795
41,FL_02,0.18196939681589497,0.1641006358963205,0.25389597327237523,,0.10662974189252428,0.29340425212288496
42,JC_02,0.5388776852124657,0.09199450498521576,0.1534446351820407,,0.10715701720818085,0.10852615741209698
43,NE_06,0.001964367951979471,0.3778489880883257,0.07544743494723959,0.04538062099973314,0.06427025406440212,0.4350883339483201
44,FS_08,0.07814955912482208,0.2721053038866391,0.1580859035209713,,0.13554544309853975,0.3561137903690278
45,TF_03,0.016011908912680024,0.08832336573090674,0.03202184167956578,0.01776729334314517,0.09238642529979009,0.7534891650339122
46,LC_05,0.1344810776790452,0.2036079171480091,0.12615399311347153,,0.13421531591793637,0.4015416961415378
47,LP_06,0.7081735179398404,0.06458953705138569,0.16365083454211818,,0.022419441011338276,0.041166669455317384
48,FS_10,0.06252472161874323,0.30655666463032566,0.1269899294661077,,0.18534552053770303,0.3185831637471204
49,JC_01,0.3279979324478349,0.1354259392165492,0.22805132270989234,,0.17301872335007978,0.13550608227564384
50,LP_04,0.1004820619272407,0.16880560244597387,0.3470246384442393,,0.14736651047146368,0.23632118671108246
51,FL_09,0.11984921791567961,0.18583689354980004,0.253531461818054,,0.18291992344475563,0.25786250327171073
52,TF_06,0.021034693554723274,0.1338010807975797,0.14322586929657527,0.0703563938845458,0.06500814000611775,0.5665738224604583
53,FS_12,0.08421099574767095,0.2779695972286494,0.06973507401318817,,0.12235840953227022,0.4457259234782212
54,FS_09,0.055822234749091426,0.3231500309695425,0.09323571630547874,,0.20496448670520495,0.3228275312706825
55,NT_05,0.13336824671627356,0.20505636380334136,0.18659236417710745,0.0007056659198385657,0.18531790062470718,0.2889594587587319
56,FS_02,0.041862723292092,0.12338388387475344,0.04601477271993466,,0.24133342853280682,0.547405191580413
57,FS_06,0.017237388130332723,0.1756112333497339,0.10297238190708108,0.00481442154532761,0.18640793385530716,0.5129566412122176
58,FS_07,0.026059258837606254,0.18497774877462037,0.08305842386847431,0.0004357427541009345,0.22866907145649565,0.4767997543087025
59,NT_11,0.1342973117838082,0.12457196123581979,0.015756223149953313,0.009834256256623345,0.21191384362390084,0.5036264039498947
60,LC_03,0.2698450454120695,0.18057301072652476,0.15721989357009422,,0.054322065921925025,0.33803998436938654
61,NT_01,0.7144582834536354,0.07488864868135318,0.05900680423075194,0.02299666151087626,0.016078445162513486,0.11257115696086968
62,LP_05,0.2702344397752605,0.1422561344270998,0.22671762401152057,,0.1276440310141708,0.23314777077194834
63,FL_08,0.07999257865263389,0.2290465569310212,0.11636181543334131,,0.22235093024201524,0.3522481187409884
64,FL_01,0.16860221950929563,0.18246848874028151,0.20004920215928856,,0.17730261324687469,0.27157747634425955
65,TF_04,0.001011882816621185,0.07586471208405829,0.0379413000897148,0.006765365004172379,0.06225308596202694,0.8161636540434064
66,FL_10,0.1577677264007956,0.1505802399210793,0.06538953134370379,0.02353538917551576,0.20899450290256918,0.39373261025633643
